D1,D2,D3,Eta_arrivo_Italia,D7,D8,D9,D9b,D10,D11,D12,D20a,D23,D25,D26,D27a,D27b,D29,D32,D35a,D35b,D35c,D35d,D35e,D35f,D35g,D36
2,1968,1,40,443,2,2,3,3,1,3,3,1,5,1600,50,50,30,800,1,1,2,2,2,2,2,2
1,1976,1,24,305,2,3,3,3,1,1,2,1,5,2000,0,200,48,1600,2,2,2,2,2,2,2,2
2,1992,1,7,235,2,5,,5,3,1,0,2,2,1800,50,50,10,350,1,2,1,1,2,2,2,1
2,1968,1,37,254,4,3,3,4,3,3,2,3,1,1000,400,400,50,1000,1,2,1,1,2,2,2,1
1,1986,1,13,235,1,3,2,4,3,1,0,1,2,2500,200,200,50,1400,2,2,2,2,2,2,2,2
1,1977,1,23,344,2,3,3,4,1,3,3,1,5,2000,0,100,50,2000,1,1,2,2,2,2,2,1
2,1976,1,34,235,4,5,4,4,3,1,2,98,3,1200,50,50,40,1200,1,1,1,2,1,2,2,1
1,1970,1,29,436,2,3,3,4,1,3,4,1,6,1800,0,0,50,1800,2,2,2,2,2,2,2,2
1,1971,1,24,330,2,3,3,5,9,1,2,1,4,1500,0,200,40,1500,1,2,2,2,2,2,2,2
1,1976,1,31,330,2,5,2,3,8,3,1,1,3,1000,0,0,40,1000,1,2,2,2,2,2,2,2
1,1981,1,30,311,2,3,3,3,7,4,1,1,1,1000,300,300,50,1000,2,1,2,2,2,2,2,1
1,1963,1,45,344,2,3,3,3,1,5,3,1,1,500,200,200,60,500,1,2,1,2,2,2,2,1
1,1971,1,23,201,2,3,3,4,1,4,2,1,4,1400,0,0,20,500,1,2,1,2,2,2,2,2
1,1970,1,28,460,1,3,3,3,1,3,0,98,1,500,0,0,20,500,1,1,1,2,2,1,2,1
1,1988,1,17,305,1,6,1,5,1,4,0,98,1,1000,0,0,40,1000,1,2,2,2,2,2,2,2
1,1986,1,25,344,2,3,3,4,1,6,0,1,1,1600,1000,1000,50,1600,1,1,2,2,2,2,2,1
1,1974,1,27,344,2,1,,2,1,3,2,1,3,500,0,0,40,500,1,1,2,2,2,2,2,2
1,1978,1,27,436,1,6,3,5,1,4,0,98,1,1200,0,0,40,1200,2,2,2,2,2,2,2,2
1,1983,1,22,436,2,2,3,3,1,4,1,1,1,700,200,200,30,700,2,2,2,2,2,2,2,2
1,1967,1,29,305,2,3,3,4,1,3,2,1,4,1500,0,0,40,1500,1,2,2,2,2,2,2,2
2,1980,1,28,271,2,5,2,3,3,3,1,1,3,2000,0,0,20,500,1,2,1,2,2,2,2,1
2,1969,1,36,235,4,3,3,4,3,2,3,98,1,1600,500,500,40,1600,1,2,2,2,2,2,2,1
2,1979,1,30,243,4,5,2,4,3,3,0,1,1,800,0,0,40,800,2,2,2,2,2,2,2,2
2,1996,1,18,443,1,3,3,3,6,6,0,98,1,200,0,0,10,200,2,2,2,2,2,2,2,2
1,1971,1,26,419,2,5,2,3,1,3,3,1,5,1200,0,0,40,1200,1,1,1,2,2,2,2,1
1,1964,1,32,460,2,6,2,4,1,1,2,3,4,2000,0,200,40,1100,1,2,2,2,2,2,2,2
2,1980,1,26,423,2,6,3,3,6,3,1,1,3,1600,0,0,20,500,1,2,1,2,2,2,2,1
1,1979,1,27,344,2,5,2,3,1,3,1,1,4,1600,0,300,40,900,1,1,1,2,2,2,2,2
1,1977,1,22,201,2,5,3,3,1,3,1,1,3,1900,0,400,40,1300,1,1,1,2,2,2,2,2
1,1978,1,32,235,1,5,3,3,3,2,0,98,1,1200,0,0,40,1200,2,2,2,2,2,2,2,2
1,1977,1,29,330,2,5,2,3,8,3,2,1,5,1750,0,0,40,1100,1,1,1,2,2,2,2,1
1,1964,1,27,436,2,6,1,4,1,3,4,1,6,1000,0,0,30,750,1,2,2,2,2,2,2,2
2,1981,1,24,235,1,5,1,5,3,2,0,1,2,2000,0,0,40,1000,1,2,1,2,1,2,2,1
2,1989,1,7,344,2,5,1,5,1,1,0,1,2,800,0,0,30,800,1,2,1,2,2,2,2,1
2,1978,1,25,436,1,3,2,3,1,3,0,1,1,1100,100,100,40,1100,1,2,2,2,2,2,2,2
1,1964,1,29,450,2,2,2,3,1,3,3,1,3,1100,200,200,40,1100,1,2,2,2,2,2,2,2
2,1985,1,20,243,4,5,2,4,3,3,0,98,1,800,0,0,40,800,1,2,2,2,2,2,2,2
2,1977,1,34,235,4,6,2,3,3,2,1,2,2,1000,0,0,40,1000,1,2,1,2,2,2,2,1
1,1966,1,34,460,2,4,2,4,1,3,2,1,5,2500,0,300,40,1500,1,1,1,2,1,2,2,1
1,1979,1,22,401,2,5,2,4,1,3,3,1,5,1800,0,0,50,1800,1,2,1,2,2,2,2,1
1,1966,1,29,419,2,5,2,3,1,3,3,1,5,1300,0,0,40,1300,1,2,2,2,2,2,2,2
2,1974,1,33,243,4,6,2,4,3,3,1,98,2,1300,0,0,40,1300,1,2,1,2,2,2,2,1
2,1969,1,41,243,4,5,2,4,3,3,2,98,1,1200,400,400,40,1200,1,2,1,2,2,2,2,1
2,1976,1,22,404,4,4,1,4,1,3,2,98,2,1100,0,0,40,1100,1,1,1,2,1,2,2,1
2,1974,1,27,201,2,4,3,3,1,3,2,1,4,1700,0,0,20,500,1,2,2,2,2,2,2,2
2,1986,1,16,201,2,3,2,4,1,3,3,1,5,2200,0,500,40,1000,1,2,1,2,2,2,2,2
1,1960,1,31,250,4,4,3,4,2,2,2,98,1,1600,800,800,40,1600,1,1,1,2,1,2,2,1
1,1966,1,27,419,2,6,1,4,1,1,2,1,4,1400,0,0,40,1400,1,2,1,2,2,2,2,1
1,1964,1,27,460,2,6,1,4,1,1,4,3,6,800,0,0,20,800,1,2,2,2,2,2,2,2
2,1966,1,41,311,2,5,3,2,2,3,2,1,1,900,300,300,30,900,1,2,2,2,2,2,2,2
2,1980,1,29,450,1,5,2,3,1,4,1,98,2,400,0,0,10,400,1,2,2,2,2,2,2,2
2,1984,1,24,323,2,5,4,3,2,3,1,1,3,800,0,0,20,800,1,2,2,2,2,2,2,2
2,1972,1,21,450,2,3,3,3,1,3,2,1,4,1500,0,200,20,650,1,1,1,2,2,2,2,2
2,1986,1,12,344,2,6,1,5,1,3,1,1,4,2000,0,400,40,1200,1,2,1,2,1,2,2,1
2,1970,1,25,419,2,2,2,3,1,1,2,1,4,1500,100,100,12,500,1,2,1,2,1,2,2,1
1,1960,1,47,330,2,5,2,3,8,3,2,1,5,2200,0,400,40,1600,1,1,1,2,2,2,2,1
1,1974,1,32,330,2,5,2,4,8,3,2,1,4,1600,0,300,50,1600,1,2,1,2,1,2,2,1
1,1989,1,11,311,1,5,1,5,7,3,0,98,1,1100,0,0,40,1100,1,2,2,2,2,2,2,1
2,1951,1,61,209,2,3,3,2,3,2,3,1,1,1500,1000,1000,40,1500,1,1,1,2,1,2,2,2
1,1971,1,35,235,2,5,3,3,3,2,2,1,4,2000,0,400,40,1500,1,2,2,2,2,2,2,1
2,1976,1,35,254,4,5,4,4,3,3,1,98,1,1000,300,300,20,1000,1,1,1,2,2,2,2,1
2,1963,1,46,243,2,5,4,3,3,3,3,1,1,1100,400,400,40,1100,1,2,2,2,2,2,2,1
2,1960,1,40,243,2,6,4,3,3,3,2,1,2,2400,0,500,40,1200,1,2,2,2,2,2,2,1
2,1986,1,27,243,2,5,2,3,3,3,1,1,3,1000,0,0,20,100,1,2,1,2,2,2,2,2
2,1964,1,39,243,2,5,4,3,3,3,3,1,2,1500,0,400,20,800,1,2,1,2,2,2,2,2
2,1968,1,30,615,4,5,4,4,2,3,2,98,1,1300,0,0,40,1300,1,2,1,2,2,2,2,1
2,1961,1,31,602,2,6,1,5,2,1,2,1,3,1200,300,300,40,1200,1,2,1,2,2,2,2,1
2,1960,1,33,615,2,6,1,5,2,1,2,1,2,2800,0,500,40,1400,1,2,1,2,1,2,2,1
1,1964,1,28,602,4,6,2,5,2,1,2,98,1,1600,0,0,50,1600,1,2,1,2,2,2,2,1
2,1976,1,29,604,2,5,2,4,2,3,2,1,4,1800,0,0,30,600,1,1,1,2,1,2,2,1
2,1982,1,25,233,1,3,3,4,3,2,1,2,2,1200,200,200,20,600,2,2,2,2,2,2,2,2
1,1987,1,19,344,2,5,2,4,2,1,2,2,5,1500,0,0,40,1200,1,1,2,1,2,2,2,1
